key,en,ko,cn,enScript,koScript,enBookScript,koBookScript,enBuffScript,koBuffScript,cnScript,cnBookScript,cnBuffScript
LV3BF005,MR UP,마법 저항력 증가,魔法防御力增加,+200 Magic resistance,마법 저항력이 200 증가한다,,,+200 Magic resistance,마법 저항력이 200 증가한다,魔法防御力增加 200,魔法防御力增加 200,魔法防御力增加 200
LV3BF006,SPD UP,속도 증가,增速,+25 Speed,속도가 25 증가한다.,,,+25 Speed,속도가 25 증가한다.,增速 25,增速 25,增速 25
LV4BF001,ACC UP,명중률 증가,确度提高准,+20 Accuracy,명중률이 20 증가한다,,,+20 Accuracy,명중률이 20 증가한다,确度提高准 20,确度提高准 20,确度提高准 20
LV4BF002,AD UP,공격력 증가,攻击力增加,+300 Attack damage,공격력이 300 증가 한다,,,+300 Attack damage,공격력이 300 증가 한다,攻击力增加 300,攻击力增加 300,攻击力增加 300
LV4BF003,AP UP,주문력 증가,魔力增加,+300 Ability power ,주문력이 300 증가한다,,,+300 Ability power ,주문력이 300 증가한다,魔力增加 300,魔力增加 300,魔力增加 300
LV4BF004,DEF UP,방어력 증가,防御力增加,+300 Defense,방어력이 300 증가한다,,,+300 Defense,방어력이 300 증가한다,防御力增加 300,防御力增加 300,防御力增加 300
LV4BF005,MR UP,마법 저항력 증가,魔法防御力增加,+300 Magic resistance,마법 저항력이 300 증가한다,,,+300 Magic resistance,마법 저항력이 300 증가한다,魔法防御力增加 300,魔法防御力增加 300,魔法防御力增加 300
LV4BF006,SPD UP,속도 증가,增速,+40 Speed,속도가 40 증가한다.,,,+40 Speed,속도가 40 증가한다.,增速 40,增速 40,增速 40
LV5BF001,ACC UP,명중률 증가,确度提高准,+25 Accuracy,명중률이 25 증가한다,,,+25 Accuracy,명중률이 25 증가한다,确度提高准 25,确度提高准 25,确度提高准 25
LV5BF002,AD UP,공격력 증가,攻击力增加,+500 Attack damage,공격력이 500 증가 한다,,,+500 Attack damage,공격력이 500 증가 한다,攻击力增加 500,攻击力增加 500,攻击力增加 500
LV5BF003,AP UP,주문력 증가,魔力增加,+500 Ability power ,주문력이 500 증가한다,,,+500 Ability power ,주문력이 500 증가한다,魔力增加 500,魔力增加 500,魔力增加 500
LV5BF004,DEF UP,방어력 증가,防御力增加,+500 Defense,방어력이 500 증가한다,,,+500 Defense,방어력이 500 증가한다,防御力增加 500,防御力增加 500,防御力增加 500
LV5BF005,MR UP,마법 저항력 증가,魔法防御力增加,+500 Magic resistance,마법 저항력이 500 증가한다,,,+500 Magic resistance,마법 저항력이 500 증가한다,魔法防御力增加 500,魔法防御力增加 500,魔法防御力增加 500
LV5BF006,SPD UP,속도 증가,增速,+50 Speed,속도가 50 증가한다.,,,+50 Speed,속도가 50 증가한다.,增速 50,增速 50,增速 50
SB001,Acc UP,명중률 증가,确度提高准,Accuracy increases by {total} for {duration} turns,{duration} 턴 동안 명중률 {total} 증가,Accuracy increases by {basic} for {duration} turns,{duration} 턴 동안 명중률 {basic} 증가,Accuracy increases by {total} for {duration} turns,{duration} 턴 동안 명중률 {total} 증가,{duration}回合内精度提升{total},{duration}回合内精度提升{total},{duration}回合内精度提升{total}
SB002,AD 500 UP,공격력 500 증가,攻击力500增加,AD increases by {total} for {duration} turns,{duration} 턴 동안 공격력 {total} 증가,AD increases by {basic} for {duration} turns,{duration} 턴 동안 공격력 {basic} 증가,AD increases by {total} for {duration} turns,{duration} 턴 동안 공격력 {total} 증가,{duration}回合内攻击力增加{total},{duration}回合内攻击力增加{total},{duration}回合内攻击力增加{total}
SB003,AD 2x Up,공격력 2배 증가,攻击力增加,AD increases x2 for {duration} turns,{duration} 턴 동안 공격력 2배 증가,AD increases x2 for {duration} turns,{duration} 턴 동안 공격력 2배 증가,AD increases x2 for {duration} turns,{duration} 턴 동안 공격력 2배 증가,{duration}回合攻击力翻倍,{duration}回合攻击力翻倍,{duration}回合攻击力翻倍
SB004,AP 500 UP,주문력 500 증가,魔力500增加,AP increases by {total} for {duration} turns,{duration} 턴 동안 주문력 {total} 증가,AP increases by {basic} for {duration} turns,{duration} 턴 동안 주문력 {basic} 증가,AP increases by {total} for {duration} turns,{duration} 턴 동안 주문력 {total} 증가,{duration}回合内精度增加{total},{duration}回合内精度增加{total},{duration}回合内精度增加{total}
SB005,AP 2x UP,주문력 2배 증가,攻击力翻倍,AP increases x2 for {duration} turns,{duration} 턴 동안 주문력 2배 증가,AP increases x2 for {duration} turns,{duration} 턴 동안 주문력 2배 증가,AP increases x2 for {duration} turns,{duration} 턴 동안 주문력 2배 증가,{duration}回合魔法攻击力翻倍,{duration}回合魔法攻击力翻倍,{duration}回合魔法攻击力翻倍
SB006,DEF UP,방어력 증가,防御力增加,Defense increases by {total} for {duration} turns,{duration} 턴 동안 방어력 {total} 증가,Defense increases by {basic} for {duration} turns,{duration} 턴 동안 방어력 {basic} 증가,Defense increases by {total} for {duration} turns,{duration} 턴 동안 방어력 {total} 증가,{duration}回合内防御力增加{total},{duration}回合内防御力增加{total},{duration}回合内防御力增加{total}
SB007,MR UP,마법 저항력 증가,魔法防御力增加,Magic resistance increases by {total} for {duration} turns,{duration} 턴 동안 마법 저항력 {total} 증가,Magic resistance increases by {basic} for {duration} turns,{duration} 턴 동안 마법 저항력 {basic} 증가,Magic resistance increases by {total} for {duration} turns,{duration} 턴 동안 마법 저항력 {total} 증가,{duration}回合魔法防御力增加{total} ,{duration}回合魔法防御力增加{total} ,{duration}回合魔法防御力增加{total} 
SB008,SPD UP,속도 증가,增速,Magic resistance increases by {total} for {duration} turns,{duration} 턴 동안 속도 {total} 증가,Magic resistance increases by {basic} for {duration} turns,{duration} 턴 동안 속도 {basic} 증가,Magic resistance increases by {total} for {duration} turns,{duration} 턴 동안 속도 {total} 증가,{duration}回合速度增加{total},{duration}回合速度增加{total},{duration}回合速度增加{total}
SM001,Double slash,두번 베기,切两次,{total} = ({basic} + {ratioAD}) inflict attack damage,{total} = ({basic} + {ratioAD}) 의 데미지를 입힌다,({basic} + {ratioAD}) inflict attack damage,({basic} + {ratioAD}) 의 데미지를 입힌다,,,造成{total} = ({basic} + {ratioAD})的伤害,造成{total} = ({basic} + {ratioAD})的伤害,造成{total} = ({basic} + {ratioAD})的伤害
SM002,Fast slash,벽력 일섬,一道闪电,{total} = ({basic} + {ratioAD}) inflict attack damage,{total} = ({basic} + {ratioAD}) 의 데미지를 입힌다,({basic} + {ratioAD}) inflict attack damage,({basic} + {ratioAD}) 의 데미지를 입힌다,,,造成{total} = ({basic} + {ratioAD})的伤害,造成{total} = ({basic} + {ratioAD})的伤害,造成{total} = ({basic} + {ratioAD})的伤害
SM003,Flame radiation,화염 방사,喷火,{total} = ({basic} + {ratioAP}) inflict AP damage,{total} = ({basic} + {ratioAP}) 의 마법 데미지를 입힌다,({basic} + {ratioAP}) inflict AP damage,({basic} + {ratioAP}) 의 마법 데미지를 입힌다,,,造成{total} = ({basic} + {ratioAP})魔法的伤害,造成{total} = ({basic} + {ratioAP})魔法的伤害,造成{total} = ({basic} + {ratioAP})魔法的伤害
SM004,Power slash,파워 슬래쉬,强力斩击,{total} = ({basic} + {ratioAD}) inflict attack damage,{total} = ({basic} + {ratioAD}) 의 데미지를 입힌다,({basic} + {ratioAD}) inflict attack damage,({basic} + {ratioAD}) 의 데미지를 입힌다,,,造成{total} = ({basic} + {ratioAD})的伤害,造成{total} = ({basic} + {ratioAD})的伤害,造成{total} = ({basic} + {ratioAD})的伤害
SM005,Sting,찌르기,大力刺,{total} = ({basic} + {ratioAD}) inflict attack damage,{total} = ({basic} + {ratioAD}) 의 데미지를 입힌다,{total} = ({basic} + {ratioAD}) inflict attack damage,({basic} + {ratioAD}) 의 데미지를 입힌다,,,造成{total} = ({basic} + {ratioAD})的伤害,造成{total} = ({basic} + {ratioAD})的伤害,造成{total} = ({basic} + {ratioAD})的伤害
SM006,Whirlwind,회전 베기,旋转斜线,{total} = ({basic} + {ratioAD}) inflict attack damage,{total} = ({basic} + {ratioAD}) 의 데미지를 입힌다,({basic} + {ratioAD}) inflict attack damage,({basic} + {ratioAD}) 의 데미지를 입힌다,,,造成{total} = ({basic} + {ratioAD})的伤害,造成{total} = ({basic} + {ratioAD})的伤害,造成{total} = ({basic} + {ratioAD})的伤害
SR001,Air meteor,공기 유성,大气流星,{total} = ({basic} + {ratioAP}) inflict AP damage,{total} = ({basic} + {ratioAP}) 의 마법 데미지를 입힌다,({basic} + {ratioAP}) inflict AP damage,({basic} + {ratioAP}) 의 마법 데미지를 입힌다,,,造成{total} = ({basic} + {ratioAP})魔法的伤害,造成{total} = ({basic} + {ratioAP})魔法的伤害,造成{total} = ({basic} + {ratioAP})魔法的伤害
SR002,Magic missle,마법 화살,魔法箭,{total} = ({basic} + {ratioAP}) inflict AP damage,{total} = ({basic} + {ratioAP}) 의 마법 데미지를 입힌다,({basic} + {ratioAP}) inflict AP damage,({basic} + {ratioAP}) 의 마법 데미지를 입힌다,,,造成{total} = ({basic} + {ratioAP})魔法的伤害,造成{total} = ({basic} + {ratioAP})魔法的伤害,造成{total} = ({basic} + {ratioAP})魔法的伤害
SR003,Throw bomb,수류탄 투척,投掷手榴弹,{total} inflict attack damage, {total} 의 물리 데미지를 입힌다,{basic} inflict attack damage,{basic} 의 물리 데미지를 입힌다,,, {total}的物理伤害, {total}的物理伤害, {total}的物理伤害
SR004,Throw javelin,투창,掷标枪,{total} = ({basic} + {ratioAD}) inflict attack damage,{total} = ({basic} + {ratioAD}) 의 데미지를 입힌다,({basic} + {ratioAD}) inflict attack damage,({basic} + {ratioAD}) 의 데미지를 입힌다,,,造成{total} = ({basic} + {ratioAD})的伤害,造成{total} = ({basic} + {ratioAD})的伤害,造成{total} = ({basic} + {ratioAD})的伤害
SDB001,Acc Down,명중률 감소,准确度降低,Accuracy decreases by {total} for {duration} turns,{duration} 턴 동안 명중률 {total} 감소,Accuracy decreases by {basic} for {duration} turns,{duration} 턴 동안 명중률 {basic} 감소,Accuracy decreases by {total} for {duration} turns,{duration} 턴 동안 명중률 {total} 감소,{duration}回合内精度降低{total},{duration}回合内精度降低{total},{duration}回合内精度降低{total}
SDB002,AD Down,공격력 감소,攻击力降低,AD decreases by {total} for {duration} turns,{duration} 턴 동안 공격력 {total} 감소,AD decreases by {basic} for {duration} turns,{duration} 턴 동안 공격력 {basic} 감소,AD decreases by {total} for {duration} turns,{duration} 턴 동안 공격력 {total} 감소,{duration}回合内攻击力降低{total},{duration}回合内攻击力降低{total},{duration}回合内攻击力降低{total}
SDB003,AP Down,주문력 감소,魔力减少,AP decreases by {total} for {duration} turns,{duration} 턴 동안 주문력 {total} 감소,AP decreases by {basic} for {duration} turns,{duration} 턴 동안 주문력 {basic} 감소,AP decreases by {total} for {duration} turns,{duration} 턴 동안 주문력 {total} 감소,{duration}回合魔法攻击力降低{total},{duration}回合魔法攻击力降低{total},{duration}回合魔法攻击力降低{total}
SDB004,Burn,화상,烧伤,{total} inflict true damage for {duration} turns,{duration} 턴 동안 {total} 고정 데미지를 입힌다,{basic} inflict true damage for {duration} turns,{duration} 턴 동안 {basic} 고정 데미지를 입힌다,{total} inflict true damage for {duration} turns,{duration} 턴 동안 {total} 고정 데미지를 입힌다,{duration}回合固定伤害{total},{duration}回合固定伤害{total},{duration}回合固定伤害{total}
SDB005,DEF Down,방어력 감소,防御力下降,Defense decreases by {total} for {duration} turns,{duration} 턴 동안 방어력 {total} 감소,Defense decreases by {basic} for {duration} turns,{duration} 턴 동안 방어력 {basic} 감소,Defense decreases by {total} for {duration} turns,{duration} 턴 동안 방어력 {total} 감소,{duration}回合内防御力降低{total},{duration}回合内防御力降低{total},{duration}回合内防御力降低{total}
SDB006,SPD Down,속도 감소,减速,Speed decreases by {total} for {duration} turns,{duration} 턴 동안 속도 {total} 감소,Speed decreases by {basic} for {duration} turns,{duration} 턴 동안 속도 {basic} 감소,Speed decreases by {total} for {duration} turns,{duration} 턴 동안 속도 {total} 감소,{duration}回合速度降低{total},{duration}回合速度降低{total},{duration}回合速度降低{total}
SMS001,Magic multi missile,다중 마법 화살,多支魔法箭,{total} = ({basic} + {ratioAP}) AP damage to all enemies,모든 적에게 {total} = ({basic} + {ratioAP}) 의 마법 데미지를  입힌다,({basic} + {ratioAP}) AP damage to all enemies,모든 적에게 ({basic} + {ratioAP}) 의 마법 데미지를  입힌다,,,致所有人造成{total} = ({basic} + {ratioAP})的伤害,致所有人造成{total} = ({basic} + {ratioAP})的伤害,致所有人造成{total} = ({basic} + {ratioAP})的伤害
SMS002,Throw mulit javelin,다중 투창,多掷标枪,{total} = ({basic} + {ratioAD}) AD damage to all enemies,모든 적에게 {total} = ({basic} + {ratioAD}) 의 데미지를  입힌다,({basic} + {ratioAD}) AD damage to all enemies,모든 적에게 {total} = ({basic} + {ratioAD}) 의 데미지를  입힌다,,,致所有人造成{total} = ({basic} + {ratioAD})的伤害,致所有人造成{total} = ({basic} + {ratioAD})的伤害,致所有人造成{total} = ({basic} + {ratioAD})的伤害
SFS001,Mega storm,시공의 폭풍,超级风暴,{total} = ({basic} + {ratioAP}) AP damage to all enemies,모든 적에게 {total} = ({basic} + {ratioAP}) 의 마법 데미지를  입힌다,({basic} + {ratioAP}) AP damage to all enemies,모든 적에게 {total} = ({basic} + {ratioAP}) 의 마법 데미지를  입힌다,,,致所有人造成{total} = ({basic} + {ratioAP})魔法的伤害,致所有人造成{total} = ({basic} + {ratioAP})魔法的伤害,致所有人造成{total} = ({basic} + {ratioAP})魔法的伤害
SCS001,Solar beam,솔라빔,太阳光束,After 1 turn {total} = ({basic} + {ratioAP}) inflict AP damage,1턴 뒤 {total} = ({basic} + {ratioAP}) 의 마법 데미지를 입힌다,After 1 turn ({basic} + {ratioAP}) inflict AP damage,1턴 뒤 ({basic} + {ratioAP}) 의 마법 데미지를 입힌다,,,1回合后造成{total} = ({basic} + {ratioAP})魔法的伤害,1回合后造成{total} = ({basic} + {ratioAP})魔法的伤害,1回合后造成{total} = ({basic} + {ratioAP})魔法的伤害
CM001,Poison,독,毒,{total} inflict true damage for {duration} turns,{duration} 턴 동안 {total} 고정 데미지를 입힌다,{basic} inflict true damage for {duration} turns,{duration} 턴 동안 {basic} 고정 데미지를 입힌다,{total} inflict true damage for {duration} turns,{duration} 턴 동안 {total} 고정 데미지를 입힌다,{duration}回合固定伤害{total},{duration}回合固定伤害{total},{duration}回合固定伤害{total}
CM002,Cuss,저주,咒语,{total} inflict true damage for {duration} turns,{duration} 턴 동안 {total} 고정 데미지를 입힌다,{basic} inflict true damage for {duration} turns,{duration} 턴 동안 {basic} 고정 데미지를 입힌다,{total} inflict true damage for {duration} turns,{duration} 턴 동안 {total} 고정 데미지를 입힌다,{duration}回合固定伤害{total},{duration}回合固定伤害{total},{duration}回合固定伤害{total}
CM003,AD 300 UP,공격력 300 증가,攻击力300增加,AD increases by {total} for {duration} turns,{duration} 턴 동안 공격력 {total} 증가,AD increases by {basic} for {duration} turns,{duration} 턴 동안 공격력 {basic} 증가,AD increases by {total} for {duration} turns,{duration} 턴 동안 공격력 {total} 증가,{duration}回合内攻击力增加{total},{duration}回合内攻击力增加{total},{duration}回合内攻击力增加{total}
CM004,AP 300 UP,주문력 300 증가,魔力300增加,AP increases by {total} for {duration} turns,{duration} 턴 동안 주문력 {total} 증가,AP increases by {basic} for {duration} turns,{duration} 턴 동안 주문력 {basic} 증가,AP increases by {total} for {duration} turns,{duration} 턴 동안 주문력 {total} 증가,{duration}回合内精度增加{total},{duration}回合内精度增加{total},{duration}回合内精度增加{total}
